generation,best,average,best_value,average_value
2193,0.764706,0.7125,0.764706,0.7125
2194,0.764706,0.738971,0.764706,0.738971
2195,0.764706,0.758088,0.764706,0.758088
2196,0.764706,0.760294,0.764706,0.760294
2197,0.764706,0.746324,0.764706,0.746324
2198,0.764706,0.711029,0.764706,0.711029
2199,0.764706,0.725,0.764706,0.725
2200,0.764706,0.729412,0.764706,0.729412
2201,0.764706,0.729412,0.764706,0.729412
2202,0.764706,0.729412,0.764706,0.729412
2203,0.764706,0.743382,0.764706,0.743382
2204,0.764706,0.7625,0.764706,0.7625
2205,0.764706,0.760294,0.764706,0.760294
2206,0.764706,0.758088,0.764706,0.758088
2207,0.764706,0.760294,0.764706,0.760294
2208,0.764706,0.7625,0.764706,0.7625
2209,0.764706,0.7625,0.764706,0.7625
2210,0.764706,0.755882,0.764706,0.755882
2211,0.764706,0.729412,0.764706,0.729412
2212,0.764706,0.736765,0.764706,0.736765
2213,0.764706,0.736765,0.764706,0.736765
2214,0.764706,0.755882,0.764706,0.755882
2215,0.764706,0.755882,0.764706,0.755882
2216,0.764706,0.755882,0.764706,0.755882
2217,0.764706,0.7625,0.764706,0.7625
2218,0.764706,0.7625,0.764706,0.7625
2219,0.764706,0.764706,0.764706,0.764706
2220,0.764706,0.764706,0.764706,0.764706
2221,0.764706,0.764706,0.764706,0.764706
2222,0.764706,0.760294,0.764706,0.760294
2223,0.764706,0.764706,0.764706,0.764706
2224,0.764706,0.764706,0.764706,0.764706
2225,0.764706,0.751471,0.764706,0.751471
2226,0.764706,0.755882,0.764706,0.755882
2227,0.764706,0.7625,0.764706,0.7625
2228,0.764706,0.7625,0.764706,0.7625
2229,0.764706,0.7625,0.764706,0.7625
2230,0.764706,0.752941,0.764706,0.752941
2231,0.764706,0.7625,0.764706,0.7625
2232,0.764706,0.7625,0.764706,0.7625
2233,0.764706,0.764706,0.764706,0.764706
2234,0.764706,0.764706,0.764706,0.764706
2235,0.764706,0.764706,0.764706,0.764706
2236,0.764706,0.760294,0.764706,0.760294
2237,0.764706,0.764706,0.764706,0.764706
2238,0.764706,0.7625,0.764706,0.7625
2239,0.764706,0.764706,0.764706,0.764706
2240,0.764706,0.764706,0.764706,0.764706
2241,0.764706,0.731618,0.764706,0.731618
2242,0.764706,0.745588,0.764706,0.745588
2243,0.764706,0.755147,0.764706,0.755147
2244,0.764706,0.748529,0.764706,0.748529
2245,0.764706,0.758088,0.764706,0.758088
2246,0.764706,0.764706,0.764706,0.764706
2247,0.764706,0.764706,0.764706,0.764706
2248,0.764706,0.764706,0.764706,0.764706
2249,0.764706,0.764706,0.764706,0.764706
2250,0.764706,0.764706,0.764706,0.764706
2251,0.764706,0.764706,0.764706,0.764706
2252,0.764706,0.725,0.764706,0.725
2253,0.764706,0.722794,0.764706,0.722794
2254,0.764706,0.732353,0.764706,0.732353
2255,0.764706,0.745588,0.764706,0.745588
2256,0.764706,0.738971,0.764706,0.738971
2257,0.764706,0.738971,0.764706,0.738971
2258,0.764706,0.749265,0.764706,0.749265
2259,0.764706,0.758824,0.764706,0.758824
2260,0.764706,0.727206,0.764706,0.727206
2261,0.764706,0.684926,0.764706,0.684926
2262,0.764706,0.717279,0.764706,0.717279
2263,0.764706,0.723529,0.764706,0.723529
2264,0.764706,0.725735,0.764706,0.725735
2265,0.764706,0.738235,0.764706,0.738235
2266,0.764706,0.739706,0.764706,0.739706
2267,0.764706,0.744853,0.764706,0.744853
2268,0.764706,0.741912,0.764706,0.741912
2269,0.764706,0.749265,0.764706,0.749265
2270,0.764706,0.739706,0.764706,0.739706
2271,0.764706,0.738971,0.764706,0.738971
2272,0.764706,0.748529,0.764706,0.748529
2273,0.764706,0.748529,0.764706,0.748529
2274,0.764706,0.735294,0.764706,0.735294
2275,0.764706,0.748529,0.764706,0.748529
2276,0.764706,0.754412,0.764706,0.754412
2277,0.764706,0.751471,0.764706,0.751471
2278,0.764706,0.758088,0.764706,0.758088
2279,0.764706,0.758088,0.764706,0.758088
2280,0.764706,0.760294,0.764706,0.760294
2281,0.764706,0.7625,0.764706,0.7625
2282,0.764706,0.764706,0.764706,0.764706
2283,0.764706,0.764706,0.764706,0.764706
2284,0.764706,0.764706,0.764706,0.764706
2285,0.764706,0.745588,0.764706,0.745588
