generation,best,average,best_value,average_value
0,117,109.933,117,109.933
1,117,111.767,117,111.767
2,117,112.433,117,112.433
3,117,112.267,117,112.267
4,117,111.367,117,111.367
5,117,111.633,117,111.633
6,117,111.7,117,111.7
7,117,112.1,117,112.1
8,117,112.5,117,112.5
9,117,112.767,117,112.767
10,117,111.433,117,111.433
11,117,112.233,117,112.233
12,117,112.7,117,112.7
13,117,113.167,117,113.167
14,117,112.467,117,112.467
15,117,113.267,117,113.267
16,117,113.167,117,113.167
17,117,113.767,117,113.767
18,117,114.467,117,114.467
19,117,114.9,117,114.9
20,117,114.833,117,114.833
21,118,114.8,118,114.8
22,119,115.067,119,115.067
23,119,115.4,119,115.4
24,119,115.533,119,115.533
25,119,115.867,119,115.867
26,119,116.9,119,116.9
27,119,116.767,119,116.767
28,119,118.233,119,118.233
29,119,118.567,119,118.567
30,119,118.6,119,118.6
31,119,118.6,119,118.6
32,119,118.4,119,118.4
33,119,118.9,119,118.9
34,119,118.733,119,118.733
35,119,119,119,119
36,119,118.767,119,118.767
37,119,118.767,119,118.767
38,119,118.6,119,118.6
39,119,118.233,119,118.233
40,119,118.367,119,118.367
41,119,118.433,119,118.433
42,119,118.567,119,118.567
43,119,118.8,119,118.8
44,119,118.7,119,118.7
45,119,118.9,119,118.9
46,119,118.967,119,118.967
47,119,118.767,119,118.767
48,119,118.233,119,118.233
49,119,118.133,119,118.133
50,119,117.933,119,117.933
51,119,117.4,119,117.4
52,119,118.033,119,118.033
53,119,118.767,119,118.767
54,119,118.7,119,118.7
55,119,118.433,119,118.433
56,119,118.1,119,118.1
57,119,117.6,119,117.6
58,119,117.667,119,117.667
59,119,118.333,119,118.333
60,119,118.233,119,118.233
61,119,118.4,119,118.4
62,119,118.467,119,118.467
63,119,117.867,119,117.867
64,119,118,119,118
65,119,118.367,119,118.367
66,119,118.167,119,118.167
67,119,118.133,119,118.133
68,119,118.667,119,118.667
69,119,118.6,119,118.6
70,119,118.767,119,118.767
71,119,118.633,119,118.633
72,119,118.867,119,118.867
73,119,118.567,119,118.567
74,119,118.633,119,118.633
75,119,118.633,119,118.633
76,119,118.6,119,118.6
77,119,118.567,119,118.567
78,119,118.567,119,118.567
79,119,118.7,119,118.7
80,119,118.667,119,118.667
81,119,118.567,119,118.567
82,119,118.133,119,118.133
83,119,118.467,119,118.467
84,119,118.667,119,118.667
85,119,118.9,119,118.9
86,119,118.967,119,118.967
87,119,118.867,119,118.867
88,119,118.7,119,118.7
89,119,118.767,119,118.767
90,119,118.833,119,118.833
91,119,118.8,119,118.8
92,119,118.9,119,118.9
93,119,118.933,119,118.933
94,119,118.767,119,118.767
95,119,118.7,119,118.7
96,119,118.8,119,118.8
97,119,119,119,119
98,119,118.767,119,118.767
99,119,118.867,119,118.867
100,119,118.6,119,118.6
101,119,118.867,119,118.867
102,119,118.867,119,118.867
103,119,118.933,119,118.933
104,119,118.767,119,118.767
105,119,118.733,119,118.733
106,119,118.8,119,118.8
107,119,118.833,119,118.833
108,119,118.567,119,118.567
109,119,118.5,119,118.5
110,119,118.867,119,118.867
111,119,119,119,119
112,119,118.667,119,118.667
113,119,118.933,119,118.933
114,119,118.733,119,118.733
115,119,118.833,119,118.833
116,119,118.467,119,118.467
117,119,118.267,119,118.267
118,119,118.5,119,118.5
119,119,118.633,119,118.633
120,119,118.233,119,118.233
121,119,118.5,119,118.5
122,119,118.533,119,118.533
123,119,118.833,119,118.833
124,119,118.633,119,118.633
125,119,118.633,119,118.633
126,119,118.133,119,118.133
127,119,118.6,119,118.6
128,119,118.767,119,118.767
129,119,119,119,119
130,119,118.933,119,118.933
131,119,118.233,119,118.233
132,119,118.2,119,118.2
133,119,118.533,119,118.533
134,119,118.567,119,118.567
135,119,118.667,119,118.667
136,119,118.333,119,118.333
137,119,118,119,118
138,119,118.1,119,118.1
139,119,117.667,119,117.667
140,119,117.267,119,117.267
141,119,117.8,119,117.8
142,119,118.367,119,118.367
143,119,118.3,119,118.3
144,119,118.967,119,118.967
145,119,118.767,119,118.767
146,119,118.8,119,118.8
147,119,118.567,119,118.567
148,120,118.6,120,118.6
149,120,118.767,120,118.767
150,120,118.833,120,118.833
151,120,119.067,120,119.067
152,120,118.833,120,118.833
153,120,118.867,120,118.867
154,120,119.2,120,119.2
155,120,119.267,120,119.267
156,120,119.467,120,119.467
157,120,119.867,120,119.867
158,120,119.633,120,119.633
159,120,119.733,120,119.733
160,120,119.7,120,119.7
161,120,119.4,120,119.4
162,120,119.567,120,119.567
163,120,119.967,120,119.967
164,120,119.867,120,119.867
165,120,119.9,120,119.9
166,120,119.667,120,119.667
167,120,119.8,120,119.8
168,120,119.767,120,119.767
169,120,119.567,120,119.567
170,120,119.833,120,119.833
171,120,119.9,120,119.9
172,120,119.567,120,119.567
173,120,119.767,120,119.767
174,120,119.7,120,119.7
175,120,119.633,120,119.633
176,120,119.867,120,119.867
177,120,119.9,120,119.9
178,120,119.7,120,119.7
179,120,119.633,120,119.633
180,120,119.633,120,119.633
181,120,119.4,120,119.4
182,120,119.3,120,119.3
183,120,119.333,120,119.333
184,120,119.733,120,119.733
185,120,119.7,120,119.7
186,120,119.833,120,119.833
187,120,119.9,120,119.9
188,120,119.933,120,119.933
189,120,120,120,120
190,120,120,120,120
191,120,120,120,120
192,120,119.833,120,119.833
193,120,119.7,120,119.7
194,120,119.633,120,119.633
195,120,119.767,120,119.767
196,120,119.533,120,119.533
197,120,119.633,120,119.633
198,120,119.9,120,119.9
199,120,119.6,120,119.6
200,120,119.9,120,119.9
201,120,119.7,120,119.7
202,120,119.8,120,119.8
203,120,119.733,120,119.733
204,120,119.667,120,119.667
205,120,119.833,120,119.833
206,120,119.4,120,119.4
207,120,119.6,120,119.6
208,120,119.833,120,119.833
209,120,119.8,120,119.8
210,120,119.7,120,119.7
211,120,119.633,120,119.633
212,120,119.8,120,119.8
213,120,119.667,120,119.667
214,120,119.333,120,119.333
215,120,119.667,120,119.667
216,120,119.667,120,119.667
217,120,119.733,120,119.733
218,120,119.6,120,119.6
219,120,119.633,120,119.633
220,120,120,120,120
221,120,119.967,120,119.967
222,120,119.7,120,119.7
223,120,119.8,120,119.8
224,120,119.733,120,119.733
225,120,119.733,120,119.733
226,120,119.5,120,119.5
227,120,119.133,120,119.133
228,120,119.667,120,119.667
229,120,119.7,120,119.7
230,120,119.767,120,119.767
231,120,119.267,120,119.267
232,120,119.367,120,119.367
233,120,119.933,120,119.933
234,120,119.7,120,119.7
235,120,119.667,120,119.667
236,120,119.6,120,119.6
237,120,119.667,120,119.667
238,120,120,120,120
239,120,119.433,120,119.433
240,120,119.333,120,119.333
241,120,119.8,120,119.8
242,120,119.567,120,119.567
243,120,119.6,120,119.6
244,120,119.5,120,119.5
245,120,119.833,120,119.833
246,120,119.5,120,119.5
247,120,119.533,120,119.533
248,120,119.667,120,119.667
249,120,119.533,120,119.533
250,120,119.7,120,119.7
251,120,119.633,120,119.633
252,120,119.833,120,119.833
253,120,119.767,120,119.767
254,120,119.667,120,119.667
255,120,119.767,120,119.767
256,120,119.267,120,119.267
257,120,119.567,120,119.567
258,120,119.8,120,119.8
259,120,119.6,120,119.6
260,120,119.2,120,119.2
261,120,119.533,120,119.533
262,120,119.467,120,119.467
263,120,119.833,120,119.833
264,120,119.567,120,119.567
265,120,119.867,120,119.867
266,120,120,120,120
267,120,119.833,120,119.833
268,120,119.7,120,119.7
269,120,119.567,120,119.567
270,120,119.5,120,119.5
271,120,119.633,120,119.633
272,120,119.667,120,119.667
273,120,119.533,120,119.533
274,120,119.867,120,119.867
275,120,119.733,120,119.733
276,120,119.633,120,119.633
277,120,119.233,120,119.233
278,120,119.7,120,119.7
279,120,119.967,120,119.967
280,120,119.6,120,119.6
281,120,119.6,120,119.6
282,120,119.433,120,119.433
283,120,119.533,120,119.533
284,120,119.733,120,119.733
285,120,119.9,120,119.9
286,120,119.5,120,119.5
287,120,119.6,120,119.6
288,120,119.733,120,119.733
289,120,119.6,120,119.6
290,120,119.733,120,119.733
291,120,119.7,120,119.7
292,120,119.633,120,119.633
293,120,119.467,120,119.467
294,120,119.667,120,119.667
295,120,119.567,120,119.567
296,120,119.767,120,119.767
297,120,119.6,120,119.6
298,120,119.633,120,119.633
299,120,119.833,120,119.833
300,120,119.633,120,119.633
301,120,119.467,120,119.467
302,120,119.6,120,119.6
303,120,119.8,120,119.8
304,120,119.467,120,119.467
305,120,119.333,120,119.333
306,120,119.7,120,119.7
307,120,119.767,120,119.767
308,120,119.733,120,119.733
309,120,119.7,120,119.7
310,120,119.5,120,119.5
311,120,119.333,120,119.333
312,120,119.467,120,119.467
313,120,119.5,120,119.5
314,120,119.4,120,119.4
315,120,119.767,120,119.767
316,120,119.533,120,119.533
317,120,119.967,120,119.967
318,120,119.533,120,119.533
319,120,119.967,120,119.967
320,120,119.667,120,119.667
321,120,119.6,120,119.6
322,120,119.933,120,119.933
323,120,119.633,120,119.633
324,120,119.8,120,119.8
325,120,119.867,120,119.867
326,120,119.133,120,119.133
327,120,119.633,120,119.633
328,120,119.867,120,119.867
329,120,119.467,120,119.467
330,120,119.733,120,119.733
331,120,119.767,120,119.767
332,120,119.767,120,119.767
333,120,119.633,120,119.633
334,120,119.7,120,119.7
335,120,119.567,120,119.567
336,120,119.667,120,119.667
337,120,119.6,120,119.6
338,120,119.933,120,119.933
339,120,119.633,120,119.633
340,120,119.567,120,119.567
341,120,119.733,120,119.733
342,120,119.833,120,119.833
343,120,119.667,120,119.667
344,120,119.567,120,119.567
345,120,119.367,120,119.367
346,120,119.633,120,119.633
347,120,119.667,120,119.667
348,120,119.367,120,119.367
349,120,119.667,120,119.667
350,120,119.867,120,119.867
351,120,119.4,120,119.4
352,120,119.467,120,119.467
353,120,119.467,120,119.467
354,120,119.767,120,119.767
355,120,119.7,120,119.7
356,120,119.9,120,119.9
357,120,120,120,120
358,120,119.7,120,119.7
359,120,119.833,120,119.833
360,120,119.8,120,119.8
361,120,119.467,120,119.467
362,120,119.667,120,119.667
363,120,119.4,120,119.4
364,120,119.067,120,119.067
365,120,119.767,120,119.767
366,120,119.933,120,119.933
367,120,119.5,120,119.5
368,120,119.3,120,119.3
369,120,119.933,120,119.933
370,120,119.733,120,119.733
371,120,120,120,120
372,120,119.733,120,119.733
373,120,119.833,120,119.833
374,120,119.9,120,119.9
375,120,119.833,120,119.833
376,120,119.933,120,119.933
377,120,119.9,120,119.9
378,120,119.9,120,119.9
379,120,119.8,120,119.8
380,120,119.667,120,119.667
381,120,119.633,120,119.633
382,120,119.8,120,119.8
383,120,119.733,120,119.733
384,120,119.867,120,119.867
385,120,119.933,120,119.933
386,120,119.8,120,119.8
387,120,119.833,120,119.833
388,120,119.733,120,119.733
389,120,119.533,120,119.533
390,120,119.733,120,119.733
391,120,119.933,120,119.933
392,120,119.833,120,119.833
393,120,119.8,120,119.8
394,120,119.5,120,119.5
395,120,119.867,120,119.867
396,120,119.767,120,119.767
397,120,119.767,120,119.767
398,120,119.667,120,119.667
399,120,119.9,120,119.9
400,120,119.7,120,119.7
401,120,119.067,120,119.067
402,120,119.333,120,119.333
403,120,119.5,120,119.5
404,120,119.833,120,119.833
405,120,119.8,120,119.8
406,120,119.3,120,119.3
407,120,119.467,120,119.467
408,120,119.6,120,119.6
409,120,119.6,120,119.6
410,120,119.233,120,119.233
411,120,119.933,120,119.933
412,120,119.8,120,119.8
413,120,119.867,120,119.867
414,120,119.567,120,119.567
415,120,119.6,120,119.6
416,120,119.433,120,119.433
417,120,119.267,120,119.267
418,120,118.867,120,118.867
419,120,119.633,120,119.633
420,120,119.567,120,119.567
421,120,119.8,120,119.8
422,120,120,120,120
423,120,119.967,120,119.967
424,120,119.767,120,119.767
425,120,119.5,120,119.5
426,120,119.667,120,119.667
427,120,119.867,120,119.867
428,120,119.633,120,119.633
429,120,119.767,120,119.767
430,120,119.767,120,119.767
431,120,120,120,120
432,120,119.733,120,119.733
433,120,119.2,120,119.2
434,120,119,120,119
435,120,119.667,120,119.667
436,120,119.933,120,119.933
437,120,119.667,120,119.667
438,120,119.833,120,119.833
439,120,119.467,120,119.467
440,120,119.867,120,119.867
441,120,119.3,120,119.3
442,120,119.533,120,119.533
443,120,119.2,120,119.2
444,120,119.667,120,119.667
445,120,119.767,120,119.767
446,120,119.9,120,119.9
447,120,119.867,120,119.867
448,120,119.9,120,119.9
449,120,119.6,120,119.6
450,120,119.733,120,119.733
451,120,119.367,120,119.367
452,120,119.7,120,119.7
453,120,119.433,120,119.433
454,120,119.9,120,119.9
455,120,119.9,120,119.9
456,120,119.9,120,119.9
457,120,119.6,120,119.6
458,120,119.633,120,119.633
459,120,119.467,120,119.467
460,120,119.767,120,119.767
461,120,119.9,120,119.9
462,120,119.6,120,119.6
463,120,119.767,120,119.767
464,120,119.567,120,119.567
465,120,119.7,120,119.7
466,120,119.7,120,119.7
467,120,119.333,120,119.333
468,120,119.867,120,119.867
469,120,119.733,120,119.733
470,120,119.733,120,119.733
471,120,119.867,120,119.867
472,120,119.8,120,119.8
473,120,119.567,120,119.567
474,120,119.933,120,119.933
475,120,119.833,120,119.833
476,120,119.333,120,119.333
477,120,119.3,120,119.3
478,120,119.5,120,119.5
479,120,119.8,120,119.8
480,120,119.667,120,119.667
481,120,119.833,120,119.833
482,120,119.9,120,119.9
483,120,119.733,120,119.733
484,120,119.6,120,119.6
485,120,119.9,120,119.9
486,120,119.967,120,119.967
487,120,119.533,120,119.533
488,120,119.767,120,119.767
489,120,119.767,120,119.767
490,120,119.4,120,119.4
491,120,119.4,120,119.4
492,120,119.733,120,119.733
493,120,119.633,120,119.633
494,120,120,120,120
495,120,119.867,120,119.867
496,120,119.767,120,119.767
497,120,119.867,120,119.867
498,120,119.5,120,119.5
499,120,119.7,120,119.7
500,120,119.833,120,119.833
501,120,119.633,120,119.633
502,120,119.333,120,119.333
503,120,119.733,120,119.733
504,120,119.833,120,119.833
505,120,119.633,120,119.633
506,120,119.767,120,119.767
507,120,119.633,120,119.633
508,120,119.533,120,119.533
509,120,119.933,120,119.933
510,120,120,120,120
511,120,119.9,120,119.9
512,120,119.767,120,119.767
513,120,119.867,120,119.867
514,120,119.9,120,119.9
515,120,119.833,120,119.833
516,120,119.667,120,119.667
517,120,119.7,120,119.7
518,120,119.733,120,119.733
519,120,119.333,120,119.333
520,120,119.4,120,119.4
521,120,119.4,120,119.4
522,120,119.667,120,119.667
523,120,119.633,120,119.633
524,120,119.8,120,119.8
525,120,119.833,120,119.833
526,120,119.567,120,119.567
527,120,119.567,120,119.567
528,120,119.8,120,119.8
529,120,119.6,120,119.6
530,120,119.767,120,119.767
531,120,119.333,120,119.333
532,120,119.333,120,119.333
533,120,119.733,120,119.733
534,120,120,120,120
535,120,119.533,120,119.533
536,120,119.833,120,119.833
537,120,119.8,120,119.8
538,120,119.2,120,119.2
539,120,119.633,120,119.633
540,120,120,120,120
541,120,119.967,120,119.967
542,120,119.8,120,119.8
543,120,120,120,120
544,120,119.867,120,119.867
545,120,119.233,120,119.233
546,120,119.933,120,119.933
547,120,119.7,120,119.7
548,120,119.867,120,119.867
549,120,119.733,120,119.733
550,120,119.867,120,119.867
551,120,119.833,120,119.833
552,120,119.6,120,119.6
553,120,119.833,120,119.833
554,120,119.633,120,119.633
555,120,119.9,120,119.9
556,120,119.733,120,119.733
557,120,119.667,120,119.667
558,120,119.267,120,119.267
559,120,119.6,120,119.6
560,120,119.267,120,119.267
561,120,119.533,120,119.533
562,120,119.8,120,119.8
563,120,119.933,120,119.933
564,120,119.6,120,119.6
565,120,119.633,120,119.633
566,120,119.8,120,119.8
567,120,119.6,120,119.6
568,120,119.667,120,119.667
569,120,119.767,120,119.767
570,120,119.9,120,119.9
571,120,119.833,120,119.833
572,120,119.7,120,119.7
573,120,119.9,120,119.9
574,120,119.867,120,119.867
575,120,119.733,120,119.733
576,120,119.733,120,119.733
577,120,119.8,120,119.8
578,120,119.3,120,119.3
579,120,119.3,120,119.3
580,120,119.3,120,119.3
581,120,119.9,120,119.9
582,120,119.567,120,119.567
583,120,119.7,120,119.7
584,120,119.933,120,119.933
585,120,119.5,120,119.5
586,120,119.767,120,119.767
587,120,119.833,120,119.833
588,120,119.733,120,119.733
589,120,119.767,120,119.767
590,120,119.633,120,119.633
591,120,119.7,120,119.7
592,120,119.5,120,119.5
593,120,119.6,120,119.6
594,120,119.567,120,119.567
595,120,119.433,120,119.433
596,120,119.833,120,119.833
597,120,119.833,120,119.833
598,120,119.833,120,119.833
599,120,119.9,120,119.9
600,120,119.8,120,119.8
601,120,119.767,120,119.767
602,120,119.933,120,119.933
603,120,119.667,120,119.667
604,120,119.667,120,119.667
605,120,119.433,120,119.433
606,120,119.167,120,119.167
607,120,119.467,120,119.467
608,120,119.567,120,119.567
609,120,119.233,120,119.233
610,120,119.5,120,119.5
611,120,119.8,120,119.8
612,120,119.633,120,119.633
613,120,119.9,120,119.9
614,120,119.767,120,119.767
615,120,119.833,120,119.833
616,120,119.867,120,119.867
617,120,119.8,120,119.8
618,120,119.667,120,119.667
619,120,119.233,120,119.233
620,120,119.6,120,119.6
621,120,119.567,120,119.567
622,120,119.567,120,119.567
623,120,120,120,120
624,120,119.7,120,119.7
625,120,119.733,120,119.733
626,120,119.867,120,119.867
627,120,119.733,120,119.733
628,120,119.8,120,119.8
629,120,119.767,120,119.767
630,120,120,120,120
631,120,119.433,120,119.433
632,120,119.6,120,119.6
633,120,119.5,120,119.5
634,120,120,120,120
635,120,119.367,120,119.367
636,120,119.4,120,119.4
637,120,119.9,120,119.9
638,120,119.567,120,119.567
639,120,119.667,120,119.667
640,120,119.7,120,119.7
641,120,119.8,120,119.8
642,120,119.533,120,119.533
643,120,119.7,120,119.7
644,120,119.767,120,119.767
645,120,119.833,120,119.833
646,120,119.933,120,119.933
647,120,119.5,120,119.5
648,120,119.367,120,119.367
649,120,119.633,120,119.633
650,120,119.833,120,119.833
651,120,119.867,120,119.867
652,120,120,120,120
653,120,119.767,120,119.767
654,120,119.867,120,119.867
655,120,119.5,120,119.5
656,120,119.533,120,119.533
657,120,119.1,120,119.1
658,120,119.033,120,119.033
659,120,119.767,120,119.767
660,120,119.867,120,119.867
661,120,119.833,120,119.833
662,120,119.767,120,119.767
663,120,119.667,120,119.667
664,120,119.9,120,119.9
665,120,119.5,120,119.5
666,120,119.433,120,119.433
667,120,119.667,120,119.667
668,120,119.633,120,119.633
669,120,119.467,120,119.467
670,120,119.733,120,119.733
671,120,120,120,120
672,120,119.6,120,119.6
673,120,119.833,120,119.833
674,120,119.433,120,119.433
675,120,119.433,120,119.433
676,120,119.633,120,119.633
677,120,119.967,120,119.967
678,120,119.933,120,119.933
679,120,119.967,120,119.967
680,120,119.667,120,119.667
681,120,119.7,120,119.7
682,120,119.5,120,119.5
683,120,118.833,120,118.833
684,120,119.233,120,119.233
685,120,119.733,120,119.733
686,120,119.667,120,119.667
687,120,119.6,120,119.6
688,120,119.867,120,119.867
689,120,119.733,120,119.733
690,120,119.533,120,119.533
691,120,119.767,120,119.767
692,120,119.9,120,119.9
693,120,119.867,120,119.867
694,120,119.733,120,119.733
695,120,119.833,120,119.833
696,120,119.8,120,119.8
697,120,119.7,120,119.7
698,120,119.667,120,119.667
699,120,119.667,120,119.667
700,120,119.5,120,119.5
701,120,119.467,120,119.467
702,120,119.933,120,119.933
703,120,119.6,120,119.6
704,120,119.5,120,119.5
705,120,119.767,120,119.767
706,120,119.8,120,119.8
707,120,119.8,120,119.8
708,120,119.533,120,119.533
709,120,119.633,120,119.633
710,120,119.3,120,119.3
711,120,119.733,120,119.733
712,120,119.633,120,119.633
713,120,119.533,120,119.533
714,120,119.733,120,119.733
715,120,119.567,120,119.567
