generation,best,average,best_value,average_value
0,8063,8044.2,8063,8044.2
1,8064,8045.47,8064,8045.47
2,8064,8049.9,8064,8049.9
3,8064,8046.47,8064,8046.47
4,8064,8047.07,8064,8047.07
5,8064,8047.2,8064,8047.2
6,8064,8047.1,8064,8047.1
7,8066,8047.47,8066,8047.47
8,8066,8046.27,8066,8046.27
9,8066,8048.97,8066,8048.97
10,8066,8049.2,8066,8049.2
11,8068,8051.3,8068,8051.3
12,8068,8048.4,8068,8048.4
13,8068,8046.83,8068,8046.83
14,8073,8047.73,8073,8047.73
15,8073,8047.9,8073,8047.9
16,8073,8049.27,8073,8049.27
17,8073,8049.03,8073,8049.03
18,8073,8050.17,8073,8050.17
19,8073,8046.97,8073,8046.97
20,8073,8050.67,8073,8050.67
21,8073,8049.63,8073,8049.63
22,8073,8051.03,8073,8051.03
23,8074,8052.6,8074,8052.6
24,8074,8050.1,8074,8050.1
25,8074,8052.87,8074,8052.87
26,8074,8050.7,8074,8050.7
27,8074,8055.37,8074,8055.37
28,8074,8058.2,8074,8058.2
29,8074,8054.13,8074,8054.13
30,8074,8053.7,8074,8053.7
31,8074,8053.13,8074,8053.13
32,8074,8051.67,8074,8051.67
33,8074,8052.23,8074,8052.23
34,8074,8053.33,8074,8053.33
35,8074,8053.57,8074,8053.57
36,8074,8054.97,8074,8054.97
37,8074,8054.87,8074,8054.87
38,8074,8055.43,8074,8055.43
39,8074,8050.93,8074,8050.93
40,8074,8055.1,8074,8055.1
41,8074,8052.6,8074,8052.6
42,8074,8049.73,8074,8049.73
43,8074,8049.63,8074,8049.63
44,8074,8051.97,8074,8051.97
45,8074,8051.93,8074,8051.93
46,8074,8049.9,8074,8049.9
47,8074,8051.4,8074,8051.4
48,8074,8050.37,8074,8050.37
49,8074,8048.47,8074,8048.47
50,8074,8050.33,8074,8050.33
51,8074,8051.23,8074,8051.23
52,8077,8049.37,8077,8049.37
53,8077,8049.83,8077,8049.83
54,8077,8049.23,8077,8049.23
55,8077,8051,8077,8051
56,8077,8052.2,8077,8052.2
57,8077,8051.33,8077,8051.33
58,8077,8050.6,8077,8050.6
59,8077,8051.97,8077,8051.97
60,8077,8049.83,8077,8049.83
61,8077,8050.73,8077,8050.73
62,8077,8052.57,8077,8052.57
63,8077,8051.7,8077,8051.7
64,8077,8051.27,8077,8051.27
65,8077,8053.8,8077,8053.8
66,8077,8053.27,8077,8053.27
67,8077,8053,8077,8053
68,8077,8050.3,8077,8050.3
69,8077,8047.93,8077,8047.93
70,8077,8047.9,8077,8047.9
71,8077,8050.53,8077,8050.53
72,8077,8051.03,8077,8051.03
73,8077,8051.13,8077,8051.13
74,8077,8051.33,8077,8051.33
75,8077,8051.67,8077,8051.67
76,8077,8050.03,8077,8050.03
77,8082,8051.67,8082,8051.67
78,8082,8051.53,8082,8051.53
79,8082,8052.37,8082,8052.37
80,8082,8055.03,8082,8055.03
81,8082,8054.8,8082,8054.8
82,8082,8056.47,8082,8056.47
83,8082,8058.6,8082,8058.6
84,8082,8057.97,8082,8057.97
85,8082,8057.13,8082,8057.13
86,8082,8056.1,8082,8056.1
87,8082,8056.1,8082,8056.1
88,8082,8056.37,8082,8056.37
89,8082,8055.47,8082,8055.47
90,8082,8057.83,8082,8057.83
91,8082,8056.5,8082,8056.5
92,8082,8054.7,8082,8054.7
93,8082,8052.8,8082,8052.8
94,8082,8056.73,8082,8056.73
95,8083,8054.6,8083,8054.6
96,8083,8053.8,8083,8053.8
97,8083,8048.6,8083,8048.6
98,8084,8052.2,8084,8052.2
99,8084,8055,8084,8055
100,8084,8051.83,8084,8051.83
101,8084,8051.07,8084,8051.07
102,8084,8049.83,8084,8049.83
103,8084,8055.1,8084,8055.1
104,8087,8054,8087,8054
105,8087,8054.23,8087,8054.23
106,8087,8054.57,8087,8054.57
107,8087,8055.13,8087,8055.13
108,8087,8053.4,8087,8053.4
