generation,best,average,best_value,average_value
0,-59707.7,-90956.1,-59707.7,-90956.1
1,-51073.2,-85918.4,-51073.2,-85918.4
2,-51073.2,-74569.6,-51073.2,-74569.6
3,-51045,-79691.4,-51045,-79691.4
4,-42537.1,-74093.8,-42537.1,-74093.8
5,-42523.3,-76651,-42523.3,-76651
6,-42523.3,-74269.9,-42523.3,-74269.9
7,-42523.3,-74565.2,-42523.3,-74565.2
8,-42523.3,-74157.5,-42523.3,-74157.5
9,-42523.3,-81737.5,-42523.3,-81737.5
10,-42523.3,-76632.4,-42523.3,-76632.4
11,-42523.3,-75003,-42523.3,-75003
12,-42523.3,-77815.7,-42523.3,-77815.7
13,-33863,-69545.8,-33863,-69545.8
14,-33863,-73226.7,-33863,-73226.7
15,-33863,-71792.9,-33863,-71792.9
16,-33863,-69167.1,-33863,-69167.1
17,-33863,-68152.4,-33863,-68152.4
18,-33863,-62662.7,-33863,-62662.7
19,-33863,-62230.3,-33863,-62230.3
20,-33863,-65549.6,-33863,-65549.6
21,-29650.4,-59630,-29650.4,-59630
22,-29650.4,-54183.4,-29650.4,-54183.4
23,-29650.4,-58031.1,-29650.4,-58031.1
24,-29650.4,-58169.5,-29650.4,-58169.5
25,-25369.4,-55448.3,-25369.4,-55448.3
26,-25369.4,-49589.5,-25369.4,-49589.5
27,-21075.4,-53148.4,-21075.4,-53148.4
28,-21075.4,-54009.4,-21075.4,-54009.4
29,-21075.4,-53679.2,-21075.4,-53679.2
30,-21075.4,-55169.7,-21075.4,-55169.7
31,-21075.4,-61397.5,-21075.4,-61397.5
32,-21075.4,-60598.8,-21075.4,-60598.8
33,-21075.4,-66627.4,-21075.4,-66627.4
34,-21075.4,-62532.8,-21075.4,-62532.8
35,-21075.4,-58102.4,-21075.4,-58102.4
36,-21075.4,-55017.6,-21075.4,-55017.6
37,-21075.4,-57767.7,-21075.4,-57767.7
38,-21075.4,-51567.6,-21075.4,-51567.6
39,-21075.4,-51454.6,-21075.4,-51454.6
40,-21075.4,-55333.6,-21075.4,-55333.6
41,-21075.4,-49698.6,-21075.4,-49698.6
42,-21075.4,-54614.6,-21075.4,-54614.6
43,-21075.4,-60735.9,-21075.4,-60735.9
44,-21075.4,-60907,-21075.4,-60907
45,-21075.4,-58728.2,-21075.4,-58728.2
46,-21075.4,-58793,-21075.4,-58793
47,-21075.4,-60704.3,-21075.4,-60704.3
48,-21075.4,-57920.6,-21075.4,-57920.6
49,-21075.4,-60817.2,-21075.4,-60817.2
50,-21075.4,-61623.8,-21075.4,-61623.8
51,-21075.4,-64066.8,-21075.4,-64066.8
52,-21075.4,-60313.4,-21075.4,-60313.4
53,-21075.4,-65406.1,-21075.4,-65406.1
54,-21075.4,-61814.3,-21075.4,-61814.3
55,-21075.4,-61401.6,-21075.4,-61401.6
56,-21075.4,-63217.4,-21075.4,-63217.4
57,-21075.4,-63367.1,-21075.4,-63367.1
58,-16789.2,-61954.6,-16789.2,-61954.6
59,-16789.2,-62206.7,-16789.2,-62206.7
60,-16789.2,-70660,-16789.2,-70660
61,-16789.2,-66902.5,-16789.2,-66902.5
62,-16789.2,-63400.3,-16789.2,-63400.3
63,-16789.2,-69617.6,-16789.2,-69617.6
64,-16789.2,-64214.8,-16789.2,-64214.8
65,-16789.2,-69170.5,-16789.2,-69170.5
66,-16789.2,-71651.8,-16789.2,-71651.8
67,-16789.2,-65883,-16789.2,-65883
68,-16789.2,-65972,-16789.2,-65972
69,-16789.2,-64688.9,-16789.2,-64688.9
70,-16789.2,-63395.8,-16789.2,-63395.8
71,-16789.2,-60440,-16789.2,-60440
72,-16789.2,-65268.9,-16789.2,-65268.9
73,-16789.2,-68756.1,-16789.2,-68756.1
74,-16789.2,-58145.9,-16789.2,-58145.9
75,-16789.2,-61208.8,-16789.2,-61208.8
76,-12491,-57217.6,-12491,-57217.6
77,-12483.6,-53700.2,-12483.6,-53700.2
78,-12483.6,-63029.5,-12483.6,-63029.5
79,-12483.6,-60087.8,-12483.6,-60087.8
80,-12483.6,-68607.1,-12483.6,-68607.1
81,-12483.6,-70526,-12483.6,-70526
82,-12483.6,-65707.8,-12483.6,-65707.8
83,-12483.6,-60210.8,-12483.6,-60210.8
84,-12483.6,-62046.3,-12483.6,-62046.3
85,-12483.6,-58021.5,-12483.6,-58021.5
86,-12483.6,-49364,-12483.6,-49364
87,-12483.6,-56776.1,-12483.6,-56776.1
88,-12483.6,-55217.3,-12483.6,-55217.3
89,-12483.6,-55629.6,-12483.6,-55629.6
90,-12483.6,-45509.2,-12483.6,-45509.2
91,-12483.6,-42742,-12483.6,-42742
92,-12483.6,-38747.8,-12483.6,-38747.8
93,-12483.6,-52811.8,-12483.6,-52811.8
94,-12483.6,-47643.8,-12483.6,-47643.8
95,-12483.6,-49392,-12483.6,-49392
96,-12483.6,-45237.2,-12483.6,-45237.2
97,-12483.6,-50409.7,-12483.6,-50409.7
98,-12483.6,-52693.9,-12483.6,-52693.9
99,-12483.6,-52083.9,-12483.6,-52083.9
100,-12483.6,-55929,-12483.6,-55929
101,-12483.6,-49807.2,-12483.6,-49807.2
102,-12483.6,-57280.8,-12483.6,-57280.8
103,-12483.6,-51936.4,-12483.6,-51936.4
104,-12483.6,-52781.7,-12483.6,-52781.7
105,-12483.6,-52343.2,-12483.6,-52343.2
106,-12483.6,-53208.3,-12483.6,-53208.3
107,-12483.6,-58327.1,-12483.6,-58327.1
108,-12483.6,-60797.7,-12483.6,-60797.7
109,-12483.6,-58474,-12483.6,-58474
110,-12483.6,-63918.6,-12483.6,-63918.6
111,-12483.6,-66452.6,-12483.6,-66452.6
112,-12483.6,-66924.6,-12483.6,-66924.6
113,-12483.6,-59079.9,-12483.6,-59079.9
114,-12483.6,-68697.3,-12483.6,-68697.3
115,-12483.6,-68052.1,-12483.6,-68052.1
116,-12483.6,-65469.3,-12483.6,-65469.3
117,-12483.6,-63894.2,-12483.6,-63894.2
118,-12483.6,-66910.8,-12483.6,-66910.8
119,-12483.6,-63182.5,-12483.6,-63182.5
120,-12483.6,-69185,-12483.6,-69185
121,-12483.6,-64877.3,-12483.6,-64877.3
122,-12483.6,-70402.8,-12483.6,-70402.8
123,-12483.6,-60637.9,-12483.6,-60637.9
124,-12483.6,-63649,-12483.6,-63649
125,-12483.6,-56619.3,-12483.6,-56619.3
126,-12483.6,-62626.6,-12483.6,-62626.6
127,-12483.6,-52004,-12483.6,-52004
128,-12483.6,-47044.5,-12483.6,-47044.5
129,-12483.6,-43571.7,-12483.6,-43571.7
130,-12483.6,-36145.6,-12483.6,-36145.6
131,-12483.6,-46003.6,-12483.6,-46003.6
