generation,best,average,best_value,average_value
0,-474205,-708732,-474205,-708732
1,-411615,-633987,-411615,-633987
2,-411615,-640124,-411615,-640124
3,-411615,-601507,-411615,-601507
4,-411615,-600488,-411615,-600488
5,-411615,-586290,-411615,-586290
6,-411615,-582051,-411615,-582051
7,-410689,-613234,-410689,-613234
8,-410689,-603393,-410689,-603393
9,-410689,-592840,-410689,-592840
10,-410689,-611236,-410689,-611236
11,-410689,-574048,-410689,-574048
12,-395228,-553533,-395228,-553533
13,-378264,-541944,-378264,-541944
14,-378264,-573340,-378264,-573340
15,-378264,-560344,-378264,-560344
16,-362437,-516802,-362437,-516802
17,-362437,-518602,-362437,-518602
18,-362437,-523916,-362437,-523916
19,-330733,-531893,-330733,-531893
20,-330733,-502814,-330733,-502814
21,-330733,-527175,-330733,-527175
22,-330733,-525884,-330733,-525884
23,-283367,-523188,-283367,-523188
24,-283367,-546394,-283367,-546394
25,-283367,-582415,-283367,-582415
26,-283367,-581837,-283367,-581837
27,-283367,-586657,-283367,-586657
28,-283367,-578470,-283367,-578470
29,-283367,-557511,-283367,-557511
30,-283367,-555548,-283367,-555548
31,-283367,-534641,-283367,-534641
32,-283367,-510766,-283367,-510766
33,-283367,-504465,-283367,-504465
34,-283367,-516559,-283367,-516559
35,-283367,-501504,-283367,-501504
36,-283367,-523751,-283367,-523751
37,-283367,-497788,-283367,-497788
38,-283367,-522080,-283367,-522080
39,-283367,-517947,-283367,-517947
40,-283367,-552334,-283367,-552334
41,-283367,-486399,-283367,-486399
42,-283367,-475217,-283367,-475217
43,-283367,-446821,-283367,-446821
44,-283367,-385533,-283367,-385533
45,-283367,-370303,-283367,-370303
46,-283367,-387724,-283367,-387724
47,-283340,-403101,-283340,-403101
48,-267539,-357154,-267539,-357154
49,-267539,-348170,-267539,-348170
50,-267513,-385132,-267513,-385132
51,-267513,-400043,-267513,-400043
52,-267513,-476374,-267513,-476374
53,-267513,-499530,-267513,-499530
54,-267513,-495978,-267513,-495978
55,-267513,-495932,-267513,-495932
56,-267513,-490736,-267513,-490736
57,-267511,-408633,-267511,-408633
58,-267511,-409264,-267511,-409264
59,-267511,-413493,-267511,-413493
60,-267511,-436134,-267511,-436134
61,-267511,-456951,-267511,-456951
62,-267511,-474253,-267511,-474253
63,-267511,-464597,-267511,-464597
64,-235853,-478775,-235853,-478775
65,-235853,-486800,-235853,-486800
66,-235853,-490946,-235853,-490946
67,-235853,-473526,-235853,-473526
68,-235853,-491489,-235853,-491489
69,-235853,-490023,-235853,-490023
70,-235853,-522742,-235853,-522742
71,-235853,-519227,-235853,-519227
72,-235853,-507915,-235853,-507915
73,-235853,-492581,-235853,-492581
74,-235853,-473792,-235853,-473792
75,-235853,-498361,-235853,-498361
76,-235853,-513138,-235853,-513138
77,-235853,-523996,-235853,-523996
78,-235853,-510035,-235853,-510035
79,-235853,-502325,-235853,-502325
80,-235853,-463137,-235853,-463137
81,-235853,-482965,-235853,-482965
82,-235853,-508472,-235853,-508472
83,-235853,-497205,-235853,-497205
84,-235853,-490498,-235853,-490498
85,-235853,-488999,-235853,-488999
86,-235853,-526576,-235853,-526576
87,-235853,-548306,-235853,-548306
88,-235853,-531381,-235853,-531381
89,-235853,-559495,-235853,-559495
90,-235852,-561909,-235852,-561909
91,-235852,-555427,-235852,-555427
92,-235852,-567901,-235852,-567901
93,-235852,-561890,-235852,-561890
