generation,best,average,best_value,average_value
0,-3486.05,-11930.3,-3486.05,-11930.3
1,-3486.05,-9906.76,-3486.05,-9906.76
2,-3458.23,-8756.3,-3458.23,-8756.3
3,-3458.23,-9391.68,-3458.23,-9391.68
4,-3458.23,-9445.91,-3458.23,-9445.91
5,-3458.23,-9353.43,-3458.23,-9353.43
6,-3458.23,-8694.94,-3458.23,-8694.94
7,-3458.23,-9438.59,-3458.23,-9438.59
8,-3458.23,-10271.5,-3458.23,-10271.5
9,-3458.23,-8896.71,-3458.23,-8896.71
10,-3458.23,-8052.13,-3458.23,-8052.13
11,-3458.23,-8290.28,-3458.23,-8290.28
12,-3458.23,-9517.51,-3458.23,-9517.51
13,-3458.23,-9447.65,-3458.23,-9447.65
14,-3431.53,-9577.09,-3431.53,-9577.09
15,-3431.53,-9093.64,-3431.53,-9093.64
16,-3431.53,-8044.27,-3431.53,-8044.27
17,-3431.53,-7641.57,-3431.53,-7641.57
18,-3431.53,-7791.16,-3431.53,-7791.16
19,-1067.55,-8257.6,-1067.55,-8257.6
20,-1067.55,-7455.35,-1067.55,-7455.35
21,-1067.55,-7088.75,-1067.55,-7088.75
22,-1067.55,-7165.15,-1067.55,-7165.15
23,119.309,-6634.9,119.309,-6634.9
24,119.309,-4486.14,119.309,-4486.14
25,119.309,-4805.43,119.309,-4805.43
26,119.309,-3981.75,119.309,-3981.75
27,119.309,-2260.54,119.309,-2260.54
28,119.309,-954.483,119.309,-954.483
29,119.309,-238.452,119.309,-238.452
30,119.309,-397.776,119.309,-397.776
31,119.309,-238.68,119.309,-238.68
32,119.44,-39.8422,119.44,-39.8422
33,119.44,-438.469,119.44,-438.469
34,119.44,-797.045,119.44,-797.045
35,119.44,-801.548,119.44,-801.548
36,119.44,-2161.54,119.44,-2161.54
37,119.44,-1236.92,119.44,-1236.92
38,119.44,-2358.62,119.44,-2358.62
39,119.44,-3235.55,119.44,-3235.55
40,119.44,-4594.22,119.44,-4594.22
41,119.44,-5284.57,119.44,-5284.57
42,119.44,-4276.13,119.44,-4276.13
43,119.44,-4864.48,119.44,-4864.48
44,119.44,-4901.13,119.44,-4901.13
45,119.44,-5368.97,119.44,-5368.97
46,119.44,-5141.36,119.44,-5141.36
47,119.44,-6095.54,119.44,-6095.54
48,119.44,-7092.63,119.44,-7092.63
49,119.44,-5616.36,119.44,-5616.36
50,119.44,-4571.71,119.44,-4571.71
51,119.44,-4908.36,119.44,-4908.36
52,119.44,-5104.02,119.44,-5104.02
53,119.44,-5228.43,119.44,-5228.43
54,119.44,-5152.54,119.44,-5152.54
55,119.44,-4880.08,119.44,-4880.08
56,119.44,-4542.65,119.44,-4542.65
57,119.44,-4381.19,119.44,-4381.19
58,119.44,-3739.86,119.44,-3739.86
59,119.44,-4063.56,119.44,-4063.56
60,119.44,-2946.79,119.44,-2946.79
61,119.44,-5096.88,119.44,-5096.88
62,119.44,-4747.31,119.44,-4747.31
63,119.44,-4226.57,119.44,-4226.57
64,119.44,-4037.04,119.44,-4037.04
65,119.44,-5149.62,119.44,-5149.62
66,119.44,-5541.93,119.44,-5541.93
67,119.44,-6098.83,119.44,-6098.83
68,119.44,-5579.42,119.44,-5579.42
69,119.44,-5378.09,119.44,-5378.09
70,119.44,-5477.33,119.44,-5477.33
71,119.44,-5021.6,119.44,-5021.6
72,119.44,-4659.68,119.44,-4659.68
73,119.44,-5044.52,119.44,-5044.52
74,119.44,-4340.3,119.44,-4340.3
75,119.44,-5167.31,119.44,-5167.31
76,119.44,-4493.99,119.44,-4493.99
77,119.44,-5698.83,119.44,-5698.83
78,119.44,-4974.45,119.44,-4974.45
79,119.44,-6972.2,119.44,-6972.2
80,119.44,-6248.26,119.44,-6248.26
81,119.44,-5899.29,119.44,-5899.29
82,119.44,-7091.61,119.44,-7091.61
83,119.44,-7135.73,119.44,-7135.73
84,119.44,-7780.49,119.44,-7780.49
