generation,best,average,best_value,average_value
0,-297.753,-1688.42,-297.753,-1688.42
1,-297.753,-1258.66,-297.753,-1258.66
2,-297.753,-1180.84,-297.753,-1180.84
3,33.7982,-851.827,33.7982,-851.827
4,33.7982,-933.644,33.7982,-933.644
5,33.7982,-1165.39,33.7982,-1165.39
6,33.7982,-1122.68,33.7982,-1122.68
7,33.7982,-962.405,33.7982,-962.405
8,33.7982,-762.37,33.7982,-762.37
9,33.7982,-562.572,33.7982,-562.572
10,33.7982,-742.008,33.7982,-742.008
11,33.7982,-738.302,33.7982,-738.302
12,33.8646,-570.991,33.8646,-570.991
13,33.8646,-632.776,33.8646,-632.776
14,33.8646,-689.946,33.8646,-689.946
15,33.8646,-678.548,33.8646,-678.548
16,33.8646,-609.668,33.8646,-609.668
17,33.8646,-211.624,33.8646,-211.624
18,33.8646,-276.751,33.8646,-276.751
19,33.8646,-277.098,33.8646,-277.098
20,33.8646,-243.23,33.8646,-243.23
21,33.8646,-232.961,33.8646,-232.961
22,33.8646,-66.5369,33.8646,-66.5369
23,33.8646,-145.822,33.8646,-145.822
24,33.8646,-425.589,33.8646,-425.589
25,33.8646,-234.915,33.8646,-234.915
26,33.8646,-259.406,33.8646,-259.406
27,33.8646,-234.906,33.8646,-234.906
28,33.8646,-381.678,33.8646,-381.678
29,33.8646,-299.591,33.8646,-299.591
30,33.8646,-354.804,33.8646,-354.804
31,33.8646,-477.354,33.8646,-477.354
32,33.8646,-641.895,33.8646,-641.895
33,33.8646,-610.192,33.8646,-610.192
34,33.8646,-551.493,33.8646,-551.493
35,33.8646,-441.89,33.8646,-441.89
36,33.8646,-562.359,33.8646,-562.359
37,33.8646,-538.308,33.8646,-538.308
38,33.8646,-536.565,33.8646,-536.565
39,33.8646,-469.038,33.8646,-469.038
40,33.8646,-597.665,33.8646,-597.665
41,33.8646,-719.834,33.8646,-719.834
42,33.8646,-615.464,33.8646,-615.464
43,33.8646,-426.536,33.8646,-426.536
44,33.8646,-371.133,33.8646,-371.133
45,33.8646,-295.552,33.8646,-295.552
46,33.8646,-371.331,33.8646,-371.331
47,33.8646,-464.059,33.8646,-464.059
48,33.8646,-550.947,33.8646,-550.947
49,33.8646,-417.417,33.8646,-417.417
50,33.8646,-410.326,33.8646,-410.326
51,33.8646,-244.514,33.8646,-244.514
52,33.8646,-487.858,33.8646,-487.858
53,33.8646,-579.301,33.8646,-579.301
54,33.8646,-433.556,33.8646,-433.556
55,33.8646,-653.546,33.8646,-653.546
56,33.8646,-589.264,33.8646,-589.264
57,33.8646,-721.958,33.8646,-721.958
58,33.8646,-867.626,33.8646,-867.626
59,33.8646,-799.065,33.8646,-799.065
60,33.8646,-600.64,33.8646,-600.64
61,33.8646,-231.097,33.8646,-231.097
62,33.8646,-99.0711,33.8646,-99.0711
63,33.8646,-76.8876,33.8646,-76.8876
64,33.8646,11.3908,33.8646,11.3908
65,33.8646,-55.5166,33.8646,-55.5166
66,33.8646,11.4529,33.8646,11.4529
67,33.8646,-33.2634,33.8646,-33.2634
68,33.8646,22.8423,33.8646,22.8423
69,33.8646,-22.1815,33.8646,-22.1815
70,33.8646,33.8646,33.8646,33.8646
71,33.8646,-33.8415,33.8646,-33.8415
72,33.8646,33.8646,33.8646,33.8646
73,33.8646,33.8646,33.8646,33.8646
74,33.8646,0.0241179,33.8646,0.0241179
75,33.8646,-0.134595,33.8646,-0.134595
76,33.8646,33.8646,33.8646,33.8646
77,33.8646,33.8646,33.8646,33.8646
78,33.8646,33.8646,33.8646,33.8646
79,33.8646,33.8646,33.8646,33.8646
80,33.8646,22.8423,33.8646,22.8423
81,33.8646,11.2112,33.8646,11.2112
82,33.8646,33.8646,33.8646,33.8646
83,33.8646,-11.3732,33.8646,-11.3732
84,33.8646,-44.9012,33.8646,-44.9012
85,33.8646,11.0996,33.8646,11.0996
86,33.8646,11.4005,33.8646,11.4005
87,33.8646,-11.02,33.8646,-11.02
88,33.8646,33.8646,33.8646,33.8646
89,33.8646,-22.6195,33.8646,-22.6195
90,33.8646,22.6008,33.8646,22.6008
91,33.8646,11.5201,33.8646,11.5201
92,33.8646,33.8646,33.8646,33.8646
93,33.8646,22.6008,33.8646,22.6008
94,33.8646,33.8646,33.8646,33.8646
95,33.8646,0.0241179,33.8646,0.0241179
96,33.8646,-56.2406,33.8646,-56.2406
97,33.8646,-22.8995,33.8646,-22.8995
98,33.8646,-22.6833,33.8646,-22.6833
99,33.8646,11.2671,33.8646,11.2671
100,33.8646,-22.5517,33.8646,-22.5517
101,33.8646,11.221,33.8646,11.221
102,33.8646,-67.0418,33.8646,-67.0418
103,33.8646,33.8646,33.8646,33.8646
104,33.8646,22.5658,33.8646,22.5658
105,33.8646,-33.8718,33.8646,-33.8718
106,33.8646,11.4529,33.8646,11.4529
107,33.8646,-56.5294,33.8646,-56.5294
108,33.8646,0.583427,33.8646,0.583427
109,33.8646,-33.516,33.8646,-33.516
110,33.8646,33.8646,33.8646,33.8646
111,33.8646,33.8646,33.8646,33.8646
112,33.8646,33.8646,33.8646,33.8646
113,33.8646,33.8646,33.8646,33.8646
114,33.8646,11.2022,33.8646,11.2022
115,33.8646,11.4529,33.8646,11.4529
116,33.8646,33.8646,33.8646,33.8646
117,33.8646,22.6008,33.8646,22.6008
118,33.8646,-90.3809,33.8646,-90.3809
119,33.8646,-67.5104,33.8646,-67.5104
120,33.8646,-32.7944,33.8646,-32.7944
121,33.8646,-33.6769,33.8646,-33.6769
122,33.8646,33.8646,33.8646,33.8646
123,33.8646,33.8646,33.8646,33.8646
124,33.8646,-0.0996812,33.8646,-0.0996812
125,33.8646,-0.0965444,33.8646,-0.0965444
126,33.8646,22.8683,33.8646,22.8683
127,33.8646,11.2022,33.8646,11.2022
128,33.8646,11.5696,33.8646,11.5696
129,33.8646,33.8646,33.8646,33.8646
130,33.8646,-55.9621,33.8646,-55.9621
131,33.8646,-11.0333,33.8646,-11.0333
132,33.8646,-55.3665,33.8646,-55.3665
133,33.8646,-33.1887,33.8646,-33.1887
134,33.8646,33.8646,33.8646,33.8646
135,33.8646,22.5658,33.8646,22.5658
136,33.8646,-0.134595,33.8646,-0.134595
137,33.8646,33.8646,33.8646,33.8646
138,33.8646,-22.6321,33.8646,-22.6321
139,33.8646,-11.5538,33.8646,-11.5538
140,33.8646,0.0929953,33.8646,0.0929953
141,33.8646,22.5903,33.8646,22.5903
142,33.8646,33.8646,33.8646,33.8646
143,33.8646,33.8646,33.8646,33.8646
144,33.8646,33.8646,33.8646,33.8646
145,33.8646,-10.9039,33.8646,-10.9039
146,33.8646,33.8646,33.8646,33.8646
147,33.8646,33.8646,33.8646,33.8646
148,33.8646,33.8646,33.8646,33.8646
149,33.8646,11.5201,33.8646,11.5201
150,33.8646,0.583427,33.8646,0.583427
151,33.8646,0.423331,33.8646,0.423331
152,33.8646,-22.5939,33.8646,-22.5939
153,33.8646,0.0241179,33.8646,0.0241179
154,33.8646,11.3111,33.8646,11.3111
155,33.8646,0.0473355,33.8646,0.0473355
156,33.8646,11.3111,33.8646,11.3111
157,33.8646,33.8646,33.8646,33.8646
158,33.8646,-22.7592,33.8646,-22.7592
159,33.8646,33.8646,33.8646,33.8646
160,33.8646,22.8683,33.8646,22.8683
161,33.8646,22.8683,33.8646,22.8683
162,33.8646,-22.4255,33.8646,-22.4255
163,33.8646,22.6008,33.8646,22.6008
164,33.8646,11.5201,33.8646,11.5201
165,33.8646,33.8646,33.8646,33.8646
166,33.8646,33.8646,33.8646,33.8646
167,33.8646,-56.6151,33.8646,-56.6151
168,33.8646,33.8646,33.8646,33.8646
169,33.8646,11.3917,33.8646,11.3917
170,33.8646,33.8646,33.8646,33.8646
171,33.8646,-22.9256,33.8646,-22.9256
172,33.8646,-22.258,33.8646,-22.258
173,33.8646,22.6008,33.8646,22.6008
174,33.8646,0.22469,33.8646,0.22469
175,33.8646,33.8646,33.8646,33.8646
176,33.8646,33.8646,33.8646,33.8646
177,33.8646,33.8646,33.8646,33.8646
178,33.8646,33.8646,33.8646,33.8646
179,33.8646,33.8646,33.8646,33.8646
180,33.8646,-67.1594,33.8646,-67.1594
181,33.8646,22.5658,33.8646,22.5658
182,33.8646,22.5658,33.8646,22.5658
183,33.8646,11.3917,33.8646,11.3917
184,33.8646,33.8646,33.8646,33.8646
185,33.8646,-11.2707,33.8646,-11.2707
186,33.8646,33.8646,33.8646,33.8646
187,33.8646,-22.2971,33.8646,-22.2971
188,33.8646,-55.881,33.8646,-55.881
189,33.8646,33.8646,33.8646,33.8646
190,33.8646,33.8646,33.8646,33.8646
191,33.8646,22.5658,33.8646,22.5658
192,33.8646,33.8646,33.8646,33.8646
193,33.8646,33.8646,33.8646,33.8646
194,33.8646,0.497848,33.8646,0.497848
195,33.8646,33.8646,33.8646,33.8646
196,33.8646,-45.5184,33.8646,-45.5184
197,33.8646,-0.0996812,33.8646,-0.0996812
198,33.8646,-89.9728,33.8646,-89.9728
199,33.8646,33.8646,33.8646,33.8646
200,33.8646,-78.6032,33.8646,-78.6032
201,33.8646,-90.2169,33.8646,-90.2169
202,33.8646,-10.3567,33.8646,-10.3567
203,33.8646,11.5785,33.8646,11.5785
204,33.8646,11.4005,33.8646,11.4005
205,33.8646,-21.9811,33.8646,-21.9811
206,33.8646,-11.0113,33.8646,-11.0113
207,33.8646,0.0241179,33.8646,0.0241179
208,33.8646,22.5658,33.8646,22.5658
209,33.8646,33.8646,33.8646,33.8646
210,33.8646,33.8646,33.8646,33.8646
211,33.8646,33.8646,33.8646,33.8646
212,33.8646,33.8646,33.8646,33.8646
213,33.8646,11.5201,33.8646,11.5201
214,33.8646,-22.6531,33.8646,-22.6531
215,33.8646,-21.8807,33.8646,-21.8807
216,33.8646,-89.46,33.8646,-89.46
217,33.8646,-67.1958,33.8646,-67.1958
218,33.8646,-66.7328,33.8646,-66.7328
219,33.8646,33.8646,33.8646,33.8646
220,33.8646,22.6008,33.8646,22.6008
221,33.8646,33.8646,33.8646,33.8646
222,33.8646,11.5201,33.8646,11.5201
223,33.8646,11.4005,33.8646,11.4005
224,33.8646,11.2112,33.8646,11.2112
225,33.8646,33.8646,33.8646,33.8646
226,33.8646,22.8683,33.8646,22.8683
227,33.8646,0.577062,33.8646,0.577062
228,33.8646,22.8683,33.8646,22.8683
